Team,Resource Type,Title,Description,Severity Label,Remediation Text,Remediation URL,Resource ID,AWS Account ID,Compliance Status,Record State
Demo team,AwsAccount,1.2 Ensure multi-factor authentication (MFA) is enabled for all IAM users that have a console password,Multi-Factor Authentication (MFA) adds an extra layer of protection on top of a user name and password. It is recommended that MFA be enabled for all accounts that have a console password.,MEDIUM,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-1.2/remediation,AWS::::Account:111111111111,111111111111,WARNING,ACTIVE
Demo team,AwsS3Bucket,2.6 Ensure S3 bucket access logging is enabled on the CloudTrail S3 bucket,"S3 Bucket Access Logging generates a log that contains access records for each request made to your S3 bucket. An access log record contains details about the request, such as the request type, the resources specified in the request worked, and the time and date the request was processed. It is recommended that bucket access logging be enabled on the CloudTrail S3 bucket.",LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-2.6/remediation,arn:aws:s3:::aws-zzz-aaa-lala-blabla-dev-aws-logs,444444444444,FAILED,ACTIVE
Demo team,AwsAccount,"1.1 Avoid the use of the ""root"" account","The ""root"" account has unrestricted access to all resources in the AWS account. It is highly recommended that the use of this account be avoided.",LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-1.1/remediation,AWS::::Account:111111111111,111111111111,FAILED,ACTIVE
Demo team,AwsAccount,3.9 Ensure a log metric filter and alarm exist for AWS Config configuration changes,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established for detecting changes to CloudTrail's configurations.,LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-3.9/remediation,AWS::::Account:111111111111,111111111111,FAILED,ACTIVE
Demo team,AwsAccount,3.8 Ensure a log metric filter and alarm exist for S3 bucket policy changes,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established for changes to S3 bucket policies.,LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-3.8/remediation,AWS::::Account:111111111111,111111111111,FAILED,ACTIVE
Demo team,AwsAccount,3.7 Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established for customer created CMKs which have changed state to disabled or scheduled deletion.,LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-3.7/remediation,AWS::::Account:111111111111,111111111111,FAILED,ACTIVE
Demo team,AwsAccount,3.6 Ensure a log metric filter and alarm exist for AWS Management Console authentication failures,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established for failed console authentication attempts.,LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-3.6/remediation,AWS::::Account:111111111111,111111111111,FAILED,ACTIVE
Demo team,AwsAccount,3.5 Ensure a log metric filter and alarm exist for CloudTrail configuration changes,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established for detecting changes to CloudTrail's configurations.,LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-3.5/remediation,AWS::::Account:111111111111,111111111111,FAILED,ACTIVE
Demo team,AwsAccount,3.4 Ensure a log metric filter and alarm exist for IAM policy changes,Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established changes made to Identity and Access Management (IAM) policies.,LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-3.4/remediation,AWS::::Account:111111111111,111111111111,FAILED,ACTIVE
Demo team,AwsAccount,"3.3 Ensure a log metric filter and alarm exist for usage of ""root"" account",Real-time monitoring of API calls can be achieved by directing CloudTrail Logs to CloudWatch Logs and establishing corresponding metric filters and alarms. It is recommended that a metric filter and alarm be established for root login attempts.,LOW,"For directions on how to fix this issue, please consult the AWS Security Hub CIS documentation.",https://docs.aws.amazon.com/console/securityhub/standards-cis-3.3/remediation,AWS::::Account:111111111111,111111111111,FAILED,ACTIVE
